device-type,device-name,llm,quantization,calibration,BLEU,METEOR,BERTScore,tps
GPU,A5000,qwen2.5:72b,Q4_K_M,base,0.008812,0.041655,0.331847,7.788419630273784
NPU,RNGD,llama3.1,W8A8,base,0.026301,0.103035,0.3551899999999999,14.81466916554141
GPU,A5000,llama3.1:70b,Q4_K_M,base,0.008954,0.046084999999999994,0.335818,10.241133425346277
GPU,A5000,llama3.3:70b,Q4_K_M,base,0.009642000000000001,0.04505599999999999,0.33503399999999994,9.401571504350413
GPU,A5000,llama3.1,Q4_K_M,base,0.008365999999999998,0.04597399999999999,0.335308,47.15003864283536
