device-type,device-name,llm,quantization,calibration,BLEU,METEOR,BERTScore,tps
GPU,A5000,qwen2.5:72b,Q4_K_M,base,0.263964,0.625709,0.8785020000000001,7.927096183207266
NPU,RNGD,llama3.1,W8A8,base,0.206185,0.56682,0.8491070000000001,10.91088903072891
GPU,A5000,llama3.1:70b,Q4_K_M,base,0.259938,0.612607,0.8753730000000001,9.448367368249574
GPU,A5000,llama3.3:70b,Q4_K_M,base,0.256978,0.6218659999999999,0.8809400000000001,9.044290449233415
GPU,A5000,llama3.1,Q4_K_M,base,0.19798100000000002,0.5574610000000001,0.846114,36.13515169861958
