device-type,device-name,llm,quantization,calibration,BLEU,METEOR,BERTScore,tps
GPU,A5000,qwen2.5:72b,Q4_K_M,base,0.008812,0.041655,0.331847,7.372407191668166
NPU,RNGD,llama3.1,W8A8,base,0.026301,0.103035,0.3551899999999999,10.395939891207782
GPU,A5000,llama3.1:70b,Q4_K_M,base,0.008954,0.046084999999999994,0.335818,9.570526879820106
GPU,A5000,llama3.3:70b,Q4_K_M,base,0.009642000000000001,0.04505599999999999,0.33503399999999994,8.91639487868084
GPU,A5000,llama3.1,Q4_K_M,base,0.008365999999999998,0.04597399999999999,0.335308,40.4784519187091
